0.020 0.07 0.12 
0.065 0.00 0.16 
0.201 0.00 0.40 
0.121 0.00 0.29 
0.276 0.00 0.27 
0.359 0.00 0.14 
0.082 0.00 0.25 
0.098 0.00 0.21 
0.068 0.00 0.15 
0.041 0.00 0.17 
0.177 0.00 0.29 
0.287 0.00 0.30 
0.216 0.00 0.40 
0.122 0.00 0.27 
0.048 0.00 0.13 
0.319 0.00 0.26 
0.125 0.00 0.33 
0.225 0.00 0.36 
0.221 0.00 0.37 
0.059 0.00 0.20 
0.060 0.00 0.20 
0.001 0.00 0.22 
0.350 0.00 0.17 
0.330 0.00 0.20 
0.204 0.00 0.37 
0.057 0.00 0.20 
0.007 0.00 0.17 
0.221 0.00 0.40 
0.167 0.00 0.36 
0.206 0.00 0.37 
0.245 0.00 0.34 
0.195 0.00 0.35 
0.240 0.00 0.37 
0.117 0.00 0.30 
0.309 0.00 0.25 
0.197 0.00 0.35 
0.128 0.00 0.29 
0.123 0.00 0.32 
0.219 0.00 0.39 
0.191 0.00 0.38 
0.248 0.00 0.36 
0.298 0.00 0.29 
0.332 0.00 0.21 
0.154 0.00 0.31 
0.320 0.00 0.25 
0.022 0.00 0.14 
0.035 0.00 0.14 
0.314 0.00 0.21 
0.075 0.00 0.21 
0.215 0.00 0.37 
0.120 0.00 0.27 
0.360 0.00 0.18 
0.215 0.00 0.39 
0.325 0.00 0.19 
0.193 0.00 0.41 
0.260 0.00 0.33 
0.125 0.00 0.29 
0.304 0.00 0.20 
0.115 0.00 0.24 
0.245 0.00 0.32 
0.162 0.00 0.27 
0.022 0.01 0.18 
0.151 0.00 0.36 
0.178 0.00 0.32 
0.142 0.00 0.29 
0.281 0.00 0.30 
0.087 0.00 0.24 
0.034 0.00 0.19 
0.275 0.00 0.34 
0.345 0.06 0.16 
0.311 0.01 0.28 
0.351 0.00 0.18 
0.092 0.00 0.20 
0.111 0.00 0.25 
0.247 0.00 0.35 
0.285 0.00 0.34 
0.189 0.00 0.34 
0.315 0.00 0.26 
0.302 0.00 0.25 
0.283 0.00 0.29 
0.131 0.00 0.28 
0.349 0.00 0.18 
0.263 0.00 0.29 
0.346 0.00 0.18 
0.294 0.00 0.22 
0.067 0.00 0.20 
0.016 0.00 0.18 
0.049 0.00 0.17 
0.335 0.00 0.19 
0.061 0.00 0.22 
0.097 0.00 0.23 
0.245 0.00 0.35 
0.055 0.00 0.21 
0.045 0.00 0.16 
0.022 0.00 0.18 
0.035 0.00 0.18 
0.353 0.00 0.20 
0.232 0.00 0.40 
0.108 0.00 0.19 
0.055 0.00 0.25 
0.321 0.00 0.27 
0.302 0.00 0.23 
0.223 0.00 0.38 
0.274 0.00 0.30 
0.082 0.00 0.33 
0.014 0.00 0.14 
0.140 0.00 0.30 
0.047 0.00 0.12 
0.199 0.00 0.37 
0.298 0.00 0.25 
0.209 0.00 0.35 
0.267 0.00 0.30 
0.063 0.00 0.22 
0.279 0.00 0.30 
0.217 0.00 0.35 
0.052 0.00 0.18 
0.333 0.00 0.13 
0.233 0.00 0.39 
0.243 0.00 0.36 
0.020 0.00 0.16 
0.003 0.00 0.20 
0.142 0.00 0.33 
0.006 0.00 0.17 
0.054 0.01 0.18 
0.172 0.00 0.41 
0.167 0.00 0.38 
0.158 0.00 0.36 
0.274 0.00 0.26 
0.016 0.00 0.18 
0.222 0.00 0.34 
0.139 0.00 0.29 
0.222 0.00 0.37 
0.227 0.00 0.37 
0.064 0.00 0.16 
0.255 0.00 0.38 
0.070 0.00 0.19 
0.070 0.00 0.16 
0.233 0.00 0.38 
0.236 0.00 0.35 
0.157 0.00 0.28 
0.219 0.00 0.39 
0.337 0.00 0.21 
0.218 0.00 0.35 
0.351 0.20 0.17 
0.046 0.00 0.16 
0.227 0.00 0.36 
0.196 0.00 0.35 
0.129 0.00 0.30 
0.284 0.00 0.29 
0.177 0.00 0.38 
0.164 0.00 0.39 
0.234 0.00 0.35 
0.339 0.00 0.19 
0.295 0.00 0.27 
